Organism,Week,Treatment,Response
Organism A,1,Treatment 1,0.496714153
Organism A,2,Treatment 1,-0.138264301
Organism A,3,Treatment 1,0.647688538
Organism A,4,Treatment 1,1.523029856
Organism A,5,Treatment 1,-0.234153375
Organism A,6,Treatment 1,-0.234136957
Organism A,7,Treatment 1,1.579212816
Organism A,8,Treatment 1,0.767434729
Organism A,9,Treatment 1,-0.469474386
Organism A,10,Treatment 1,0.542560044
Organism A,11,Treatment 1,-0.463417693
Organism A,12,Treatment 1,-0.465729754
Organism A,1,Treatment 2,0.241962272
Organism A,2,Treatment 2,-1.913280245
Organism A,3,Treatment 2,-1.724917833
Organism A,4,Treatment 2,-0.562287529
Organism A,5,Treatment 2,-1.01283112
Organism A,6,Treatment 2,0.314247333
Organism A,7,Treatment 2,-0.908024076
Organism A,8,Treatment 2,-1.412303701
Organism A,9,Treatment 2,1.465648769
Organism A,10,Treatment 2,-0.2257763
Organism A,11,Treatment 2,0.067528205
Organism A,12,Treatment 2,-1.424748186
Organism A,1,Treatment 3,-0.544382725
Organism A,2,Treatment 3,0.11092259
Organism A,3,Treatment 3,-1.150993577
Organism A,4,Treatment 3,0.375698018
Organism A,5,Treatment 3,-0.60063869
Organism A,6,Treatment 3,-0.29169375
Organism A,7,Treatment 3,-0.601706612
Organism A,8,Treatment 3,1.852278185
Organism A,9,Treatment 3,-0.013497225
Organism A,10,Treatment 3,-1.057710929
Organism A,11,Treatment 3,0.822544912
Organism A,12,Treatment 3,-1.22084365
Organism B,1,Treatment 1,0.208863595
Organism B,2,Treatment 1,-1.959670124
Organism B,3,Treatment 1,-1.328186049
Organism B,4,Treatment 1,0.196861236
Organism B,5,Treatment 1,0.73846658
Organism B,6,Treatment 1,0.171368281
Organism B,7,Treatment 1,-0.115648282
Organism B,8,Treatment 1,-0.301103696
Organism B,9,Treatment 1,-1.47852199
Organism B,10,Treatment 1,-0.719844208
Organism B,11,Treatment 1,-0.460638771
Organism B,12,Treatment 1,1.057122226
Organism B,1,Treatment 2,0.34361829
Organism B,2,Treatment 2,-1.763040155
Organism B,3,Treatment 2,0.324083969
Organism B,4,Treatment 2,-0.38508228
Organism B,5,Treatment 2,-0.676922
Organism B,6,Treatment 2,0.611676289
Organism B,7,Treatment 2,1.030999522
Organism B,8,Treatment 2,0.931280119
Organism B,9,Treatment 2,-0.839217523
Organism B,10,Treatment 2,-0.309212376
Organism B,11,Treatment 2,0.331263431
Organism B,12,Treatment 2,0.975545127
Organism B,1,Treatment 3,-0.479174238
Organism B,2,Treatment 3,-0.185658977
Organism B,3,Treatment 3,-1.106334974
Organism B,4,Treatment 3,-1.196206624
Organism B,5,Treatment 3,0.812525822
Organism B,6,Treatment 3,1.356240029
Organism B,7,Treatment 3,-0.072010122
Organism B,8,Treatment 3,1.003532898
Organism B,9,Treatment 3,0.361636025
Organism B,10,Treatment 3,-0.645119755
Organism B,11,Treatment 3,0.361395606
Organism B,12,Treatment 3,1.538036566
Organism C,1,Treatment 1,-0.035826039
Organism C,2,Treatment 1,1.564643656
Organism C,3,Treatment 1,-2.619745104
Organism C,4,Treatment 1,0.821902504
Organism C,5,Treatment 1,0.087047068
Organism C,6,Treatment 1,-0.29900735
Organism C,7,Treatment 1,0.091760777
Organism C,8,Treatment 1,-1.987568915
Organism C,9,Treatment 1,-0.219671888
Organism C,10,Treatment 1,0.357112572
Organism C,11,Treatment 1,1.477894045
Organism C,12,Treatment 1,-0.518270218
Organism C,1,Treatment 2,-0.808493603
Organism C,2,Treatment 2,-0.501757044
Organism C,3,Treatment 2,0.915402118
Organism C,4,Treatment 2,0.32875111
Organism C,5,Treatment 2,-0.529760204
Organism C,6,Treatment 2,0.513267433
Organism C,7,Treatment 2,0.097077549
Organism C,8,Treatment 2,0.968644991
Organism C,9,Treatment 2,-0.702053094
Organism C,10,Treatment 2,-0.327662147
Organism C,11,Treatment 2,-0.392108153
Organism C,12,Treatment 2,-1.463514948
Organism C,1,Treatment 3,0.296120277
Organism C,2,Treatment 3,0.261055272
Organism C,3,Treatment 3,0.005113457
Organism C,4,Treatment 3,-0.234587133
Organism C,5,Treatment 3,-1.415370742
Organism C,6,Treatment 3,-0.420645323
Organism C,7,Treatment 3,-0.342714517
Organism C,8,Treatment 3,-0.802277269
Organism C,9,Treatment 3,-0.161285712
Organism C,10,Treatment 3,0.404050857
Organism C,11,Treatment 3,1.886185901
Organism C,12,Treatment 3,0.174577813
Organism D,1,Treatment 1,0.257550391
Organism D,2,Treatment 1,-0.074445916
Organism D,3,Treatment 1,-1.918771215
Organism D,4,Treatment 1,-0.026513875
Organism D,5,Treatment 1,0.06023021
Organism D,6,Treatment 1,2.463242112
Organism D,7,Treatment 1,-0.192360965
Organism D,8,Treatment 1,0.301547342
Organism D,9,Treatment 1,-0.03471177
Organism D,10,Treatment 1,-1.168678038
Organism D,11,Treatment 1,1.142822815
Organism D,12,Treatment 1,0.751933033
Organism D,1,Treatment 2,0.791031947
Organism D,2,Treatment 2,-0.909387455
Organism D,3,Treatment 2,1.402794311
Organism D,4,Treatment 2,-1.401851063
Organism D,5,Treatment 2,0.586857094
Organism D,6,Treatment 2,2.190455626
Organism D,7,Treatment 2,-0.990536325
Organism D,8,Treatment 2,-0.56629773
Organism D,9,Treatment 2,0.099651365
Organism D,10,Treatment 2,-0.503475654
Organism D,11,Treatment 2,-1.550663431
Organism D,12,Treatment 2,0.068562975
Organism D,1,Treatment 3,-1.062303714
Organism D,2,Treatment 3,0.473592431
Organism D,3,Treatment 3,-0.919424234
Organism D,4,Treatment 3,1.549934405
Organism D,5,Treatment 3,-0.783253292
Organism D,6,Treatment 3,-0.322061516
Organism D,7,Treatment 3,0.813517217
Organism D,8,Treatment 3,-1.230864316
Organism D,9,Treatment 3,0.227459935
Organism D,10,Treatment 3,1.307142754
Organism D,11,Treatment 3,-1.607483235
Organism D,12,Treatment 3,0.184633859
Organism E,1,Treatment 1,0.259882794
Organism E,2,Treatment 1,0.781822872
Organism E,3,Treatment 1,-1.236950711
Organism E,4,Treatment 1,-1.320456613
Organism E,5,Treatment 1,0.521941566
Organism E,6,Treatment 1,0.296984673
Organism E,7,Treatment 1,0.25049285
Organism E,8,Treatment 1,0.346448209
Organism E,9,Treatment 1,-0.680024722
Organism E,10,Treatment 1,0.232253697
Organism E,11,Treatment 1,0.293072473
Organism E,12,Treatment 1,-0.714351418
Organism E,1,Treatment 2,1.865774511
Organism E,2,Treatment 2,0.473832921
Organism E,3,Treatment 2,-1.191303497
Organism E,4,Treatment 2,0.656553609
Organism E,5,Treatment 2,-0.97468167
Organism E,6,Treatment 2,0.787084604
Organism E,7,Treatment 2,1.158595579
Organism E,8,Treatment 2,-0.820682318
Organism E,9,Treatment 2,0.963376129
Organism E,10,Treatment 2,0.412780927
Organism E,11,Treatment 2,0.82206016
Organism E,12,Treatment 2,1.896792983
Organism E,1,Treatment 3,-0.245388116
Organism E,2,Treatment 3,-0.753736164
Organism E,3,Treatment 3,-0.88951443
Organism E,4,Treatment 3,-0.815810285
Organism E,5,Treatment 3,-0.077101709
Organism E,6,Treatment 3,0.341151975
Organism E,7,Treatment 3,0.276690799
Organism E,8,Treatment 3,0.827183249
Organism E,9,Treatment 3,0.013001892
Organism E,10,Treatment 3,1.453534077
Organism E,11,Treatment 3,-0.264656833
Organism E,12,Treatment 3,2.720169167
Organism F,1,Treatment 1,0.625667348
Organism F,2,Treatment 1,-0.857157556
Organism F,3,Treatment 1,-1.070892498
Organism F,4,Treatment 1,0.482472415
Organism F,5,Treatment 1,-0.223462785
Organism F,6,Treatment 1,0.714000494
Organism F,7,Treatment 1,0.473237625
Organism F,8,Treatment 1,-0.072828913
Organism F,9,Treatment 1,-0.846793718
Organism F,10,Treatment 1,-1.514847225
Organism F,11,Treatment 1,-0.446514952
Organism F,12,Treatment 1,0.856398794
Organism F,1,Treatment 2,0.214093744
Organism F,2,Treatment 2,-1.245738779
Organism F,3,Treatment 2,0.173180926
Organism F,4,Treatment 2,0.38531738
Organism F,5,Treatment 2,-0.883857436
Organism F,6,Treatment 2,0.153725106
Organism F,7,Treatment 2,0.058208718
Organism F,8,Treatment 2,-1.142970298
Organism F,9,Treatment 2,0.35778736
Organism F,10,Treatment 2,0.560784526
Organism F,11,Treatment 2,1.083051243
Organism F,12,Treatment 2,1.053802052
Organism F,1,Treatment 3,-1.377669368
Organism F,2,Treatment 3,-0.93782504
Organism F,3,Treatment 3,0.515035267
Organism F,4,Treatment 3,0.513785951
Organism F,5,Treatment 3,0.515047686
Organism F,6,Treatment 3,3.852731491
Organism F,7,Treatment 3,0.570890511
Organism F,8,Treatment 3,1.13556564
Organism F,9,Treatment 3,0.954001763
Organism F,10,Treatment 3,0.651391251
Organism F,11,Treatment 3,-0.315269245
Organism F,12,Treatment 3,0.75896922
